nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0120586,tt0115963,tt0181875,tt0120484
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,producer	tt1189073,tt0112851,tt0120657,tt0120746
nm0000105	Adrienne Barbeau	1945	\N	actress,writer,soundtrack	tt0068103,tt0080749,tt0082340,tt0083767
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0343660,tt0160127,tt0151738,tt0120631
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0108525,tt0096895,tt0337921,tt0119488
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt1397280,tt0119116,tt0110413,tt0388482
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0169347,tt0131857,tt0096542,tt0062595
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0116477,tt0097499,tt1655420,tt0107616
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0097441,tt0110357,tt0091042,tt0120685
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0120347,tt0113189,tt0143145,tt0365485
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt1041829,tt0212346,tt0111257,tt1454468
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0105236,tt0116282,tt0198781,tt0118715
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0113627,tt0435705,tt0119094,tt0117500
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0090605,tt0499549,tt0120338,tt0103064
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0108894,tt0120890,tt0117571,tt0120131
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0116225,tt0096256,tt0082340,tt0077651
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0207919,tt0275847,tt0105793,tt0111503
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0315327,tt0120382,tt0338013,tt0109040
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0087363,tt0101775,tt0083929,tt0099700
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0027977,tt0015864,tt0032553,tt0021749
nm0000123	George Clooney	1961	\N	actor,producer,director	tt0365737,tt1033575,tt1193138,tt1124035
nm0000124	Jennifer Connelly	1970	\N	actress	tt0268978,tt0315983,tt0180093,tt0102803
nm0000125	Sean Connery	1930	\N	actor,producer,soundtrack	tt0097576,tt0099810,tt0117500,tt0055928
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0099348,tt0102798,tt0103855,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0093629,tt0111686,tt0117571,tt0087800
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt0119488,tt1707386,tt0268978,tt0172495
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0116695,tt0181689,tt0325710,tt0092099
nm0000130	Jamie Lee Curtis	1958	\N	actress,director,producer	tt0095159,tt0120694,tt0111503,tt0322330
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0146882,tt0450385,tt1190080,tt0120601
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt1796960,tt0108872,tt1278469,tt0117509
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0104694,tt0091064,tt0103074,tt0116908
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0212338,tt0075314,tt0101540,tt0081398
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt4649466,tt1540133,tt0264464,tt0195714
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0325980,tt0383574,tt0408236,tt0449088
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0787407,tt0078721,tt0083170,tt0114694
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0407887,tt0120338,tt0993846,tt1375666
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0259711,tt0160127,tt2203939,tt0129387
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0106856,tt0119174,tt0478970,tt0103772
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0251075,tt0120902,tt0106179,tt0904208
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt0405159,tt1205489,tt0112579
nm0000143	Erika Eleniak	1969	\N	actress	tt0096542,tt0105690,tt0083866,tt0106400
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0387564,tt0093779,tt0107977,tt0119468
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0098936,tt0165057,tt0105046,tt0100935
nm0000146	Ralph Fiennes	1962	\N	actor,director,soundtrack	tt0108052,tt0387131,tt2278388,tt1201607
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt1340800,tt0243155,tt1504320,tt1315981
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0090329,tt0082971,tt0118571,tt0106977
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0102926,tt1535108,tt0454848,tt0258000
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0083413,tt0099088,tt0096874,tt0088763
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0097239,tt0114369,tt0405159,tt1057500
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0100405,tt0358135,tt0299658,tt0084434
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0115736,tt0119094,tt0431308,tt0140352
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0187393,tt0112573,tt0286106,tt0093409
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt1787660,tt0266221,tt0313162,tt0123366
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt2278388,tt0116629,tt0091064,tt0107290
nm0000157	Linda Hamilton	1956	\N	actress	tt0118928,tt0088247,tt0092319,tt0103064
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0094737,tt0109830,tt0162222,tt0120815
nm0000159	Teri Hatcher	1964	\N	actress,writer,soundtrack	tt0120347,tt0410975,tt0327597,tt0106057
nm0000160	Ethan Hawke	1970	\N	actor,writer,director	tt0381681,tt2209418,tt0139654,tt0112471
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt1615065,tt0120679,tt0120891,tt0112851
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0120828,tt0120885,tt0120461,tt0119008
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0084805,tt0061722,tt0095953,tt0064665
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0102926,tt0975645,tt0212985,tt0107943
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0070992,tt0069704,tt0053479
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0207201,tt0119822,tt0103484,tt0117998
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0145660,tt0230030,tt0261289,tt0118655
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt3460252,tt0110912,tt0417148,tt0119396
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0443272,tt0477348,tt0106977,tt0119654
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,composer	tt1220634,tt1220198,tt0432021,tt0119116
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0120679,tt0150377,tt0470705,tt0119468
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0105236,tt0103759,tt0110912,tt2278388
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0230600,tt0274558,tt0120663,tt0203009
nm0000174	Val Kilmer	1959	\N	actor,soundtrack,producer	tt0101761,tt0120053,tt0373469,tt0113277
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0111161,tt0100157,tt0091499,tt0083767
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0120070,tt0087884,tt0083722,tt0080009
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0106673,tt0095159,tt0119360,tt0120891
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0770828,tt2096673,tt0250797,tt0328589
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0988045,tt0215750,tt3079380,tt1515091
nm0000180	David Lean	1908	1991	editor,director,writer	tt0087892,tt0059113,tt0056172,tt0050212
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0103491,tt0081856,tt0083486,tt0115369
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt0120780,tt0319931,tt0252076,tt0369735
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt1007028,tt1984153,tt0120611,tt0099329
nm0000184	George Lucas	1944	\N	writer,producer,editor	tt0086190,tt0076759,tt0121765,tt0097576
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt1320253,tt0105698,tt0089927,tt1764651
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0105665,tt0166924,tt0080678,tt0090756
nm0000187	Madonna	1958	\N	soundtrack,actress,music_department	tt0099422,tt0104694,tt0116250,tt0156841
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0079367,tt0120910,tt0338427,tt0131325
nm0000189	Jenny McCarthy	1972	\N	actress,producer,writer	tt0143134,tt0143805,tt0306047,tt0123366
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt0993846,tt1915581,tt1935179,tt0790636
nm0000191	Ewan McGregor	1971	\N	actor,writer,soundtrack	tt0121766,tt0117951,tt0120915,tt0121765
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0086827,tt0158552,tt0116287,tt0088944
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0305357,tt0107211,tt0119173,tt0117765
nm0000194	Julianne Moore	1960	\N	actress,soundtrack,producer	tt0206634,tt0118715,tt1570728,tt0119567
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0107048,tt0128445,tt0335266,tt1748122
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0118655,tt0811138,tt0295178,tt0145660
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0407887,tt0071315,tt0119822,tt0081505
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt0372784,tt0110413,tt1345836,tt0468569
nm0000199	Al Pacino	1940	\N	actor,soundtrack,director	tt0086250,tt0068646,tt0071562,tt0113277
nm0000200	Bill Paxton	1955	2017	actor,producer,director	tt0264616,tt0111503,tt0090605,tt0117998
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0103776,tt0161081,tt0117247,tt0112792
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0139134,tt0375679,tt0280707,tt0202677
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0097576,tt0092005,tt0091557,tt0102494
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0947798,tt0434409,tt1619029,tt0376541
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0122529,tt0348150,tt0114095,tt0119324
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0102685,tt0234215,tt0133093,tt0111257
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0340855,tt0462200,tt0120777,tt0162661
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0091790,tt0088128,tt0088847,tt1179817
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0111161,tt0105151,tt0112818,tt0327056
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0100405,tt0125439,tt0195685,tt0376541
nm0000211	Mimi Rogers	1956	\N	actress,producer,soundtrack	tt0118655,tt0329028,tt0210070,tt0120738
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0098635,tt0108160,tt0118617,tt0128853
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0118583,tt0099487,tt0110367,tt0097493
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0111438,tt0089469,tt0264262,tt0091042
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0112818,tt0103074,tt0380510,tt0073629
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0100802,tt0093773,tt0111503,tt0103064
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0490215,tt0075314,tt0099685,tt0070379
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt1602613,tt0116209,tt0117060,tt0280707
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0110725,tt0114781,tt0105690,tt0094602
nm0000220	Joan Severance	1958	\N	actress,producer	tt0107357,tt0097987,tt0099141,tt0098282
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0102059,tt1986770,tt0094291,tt0369179
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0082329,tt0115376,tt0805570,tt0080453
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0087538,tt0120053,tt0092513,tt0113627
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0112697,tt0124298,tt0106627,tt0118688
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0102798,tt0108399,tt4158110,tt0124198
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0098800,tt0119654,tt0480249,tt0116629
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0119675,tt0120032,tt0044265,tt0120008
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0119488,tt1856010,tt0169547,tt0114369
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0181689,tt0075860,tt0107290,tt0212720
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt0075148,tt0083944,tt0084602,tt3076658
nm0000231	Oliver Stone	1946	\N	director,producer,writer	tt0091763,tt0096969,tt0110632,tt0102138
nm0000232	Sharon Stone	1958	\N	actress,producer,writer	tt0114214,tt0100802,tt0103772,tt0112641
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0378194,tt0266697,tt0110912,tt0105236
nm0000234	Charlize Theron	1975	\N	actress,producer,soundtrack	tt0395972,tt1735898,tt0340855,tt1392190
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,writer	tt0118688,tt0266697,tt0378194,tt0110912
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0387575,tt0119528,tt0115736,tt0144120
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0110912,tt0113161,tt0119094,tt0185183
nm0000238	Shannon Tweed	1957	\N	actress,producer,set_decorator	tt0094834,tt0111093,tt0165710,tt0295923
nm0000239	Liv Tyler	1977	\N	actress,producer,soundtrack	tt0120737,tt0120591,tt0482606,tt0167260
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0117571,tt0115963,tt0805663,tt0119822
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0097659,tt0092675,tt0105698,tt0101764
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887,tt0964517,tt0118749,tt1637725
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt1037705,tt0427309,tt0139654,tt2671706
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0177789,tt0499549,tt0078748,tt0118583
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0097165,tt0103639,tt0107614,tt0113497
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0167404,tt0110912,tt0095016,tt0088571
nm0000247	John Woo	1946	\N	producer,director,writer	tt0120755,tt0425637,tt0097202,tt0119094
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0047127,tt0047898,tt0052077,tt0045826
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0086541,tt0159097,tt0087843,tt0112641
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0116695,tt0352248,tt0299658,tt0243155
nm0000251	Timothy Dowling	1973	\N	actor,writer	tt1564367,tt0430922,tt2120120,tt1596350
nm0000252	Robert Ellis	1892	1974	actor,director,writer	tt0027442,tt0460227,tt0004902,tt0023236
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0025073,tt0025712,tt0025713,tt0026195
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0110963,tt0079641,tt0082933,tt0090095
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0120591,tt0840361,tt1024648
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0074812,tt0848228,tt0099253,tt0082010
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0338751,tt0207201,tt0068098,tt3682448
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0099225,tt0102212,tt0102988,tt0083470
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0100994,tt0436058,tt0395584,tt0103867
nm0000260	Joan Allen	1956	\N	actress,producer	tt0452608,tt3170832,tt0120789,tt0115988
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0096061,tt0082971,tt0088172,tt0367882
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0107978,tt0080661,tt0093870,tt0100502
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0083399,tt0084726,tt0097778,tt0118506
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt1189073,tt0441909,tt0185125,tt0287467
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0066026,tt0105151,tt0108122,tt0280707
nm0000266	Ursula Andress	1936	\N	actress	tt0061452,tt0082186,tt0059710,tt0055928
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0058331,tt1323594,tt0298148,tt0059742
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0073812,tt0107050,tt0066892,tt0056891
nm0000269	Jean-Jacques Annaud	1943	\N	director,writer,producer	tt0338512,tt0215750,tt0120102,tt0091605
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0810788,tt0455596,tt0108333,tt0105323
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0093010,tt0160009,tt0109444,tt0105112
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0283832,tt0117477,tt0086551,tt0127536
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt0425061,tt0449059,tt0099487,tt1024648
nm0000274	David Arquette	1971	\N	producer,actor,director	tt2112923,tt0151738,tt0271367,tt1833403
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0088680,tt0110912,tt0190138,tt0089017
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0167261,tt0167260,tt0120737
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0107290,tt0119567,tt0057115,tt0083987
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0121765,tt0424971,tt0120915,tt0347457
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0118617,tt0096697,tt0115685,tt1839481
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0085010,tt0101035,tt0072288,tt0078607
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0070992,tt0086681,tt2382108,tt0074256
nm0000282	Scott Bairstow	1970	\N	actor	tt0119925,tt0120512,tt0111701,tt0283084
nm0000283	Brenda Bakke	1963	\N	actress	tt0119488,tt0107144,tt0114781,tt0114608
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0093058,tt0116629,tt0100403,tt0379786
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0318374,tt0407887,tt1230414,tt0496424
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0096732,tt0158622,tt0114814,tt0096969
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0108162,tt0101393,tt0113010,tt0367089
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0482571,tt0144084,tt0468569,tt1345836
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0108330,tt0496806,tt0157503,tt0098273
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0062512,tt0066995,tt0071807,tt0197164
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt2302755,tt0227445,tt0114558,tt0118884
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0103213,tt0112408,tt0083707,tt0094998
nm0000293	Sean Bean	1959	\N	actor,producer	tt3659388,tt0113189,tt0120737,tt0167260
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0089175,tt0338067,tt0112887,tt0092400
nm0000295	Kate Beckinsale	1973	\N	actress,soundtrack	tt0213149,tt0338751,tt0401855,tt0320691
nm0000296	Robert Beltran	1953	\N	actor	tt0112178,tt0101516,tt0087799,tt0083869
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt1375666,tt0091763,tt0139654,tt0097815
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0094514,tt0083987,tt0212346,tt0402711
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0090605,tt0096754,tt0088247,tt0117500
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt0831387,tt0387898,tt0108394,tt0116209
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0162346,tt0107120,tt0105112
nm0000302	Jacqueline Bisset	1944	\N	actress,producer	tt0071877,tt0070460,tt0062765,tt0075925
nm0000303	Honor Blackman	1925	\N	actress,soundtrack	tt0243155,tt0098939,tt0054518,tt0058150
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0070047,tt0082511,tt0076009,tt0088044
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0053502,tt0285371,tt0051189,tt0088491
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0102798,tt0120915,tt0120855,tt0346491
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt0408236,tt0137523,tt1504320,tt1707386
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0065214,tt0061578,tt0082340,tt0055689
nm0000309	David Bowie	1947	2016	soundtrack,actor,composer	tt0085701,tt0091369,tt0115632,tt0074851
nm0000310	Bruce Boxleitner	1950	\N	actor,producer	tt0084827,tt0085088,tt1104001,tt0105946
nm0000311	Annie Rosar	1888	1963	actress	tt0034800,tt0053589,tt0052358,tt0046502
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0972412,tt0116040,tt0113277,tt2699128
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt0088172,tt0118715,tt1263670,tt1403865
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0061578,tt0057115,tt0064116
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0018737,tt0018684,tt0021273,tt0020475
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0395251,tt0094012,tt0082517,tt0071230
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt1179056,tt0111161,tt3501632,tt0120201
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0121164,tt0408236,tt0109707,tt0099487
nm0000319	Yancy Butler	1970	\N	actress	tt1650554,tt0107076,tt1250777,tt0109676
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0020530,tt0061395,tt0068361,tt0056732
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0288477,tt0114814,tt0100150,tt0835434
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0117060,tt0105682,tt0113947,tt0283832
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0468569,tt0482571,tt0124315,tt3312830
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0076210,tt0086006,tt0074475,tt0085862
nm0000325	David Caruso	1956	\N	actor,producer	tt0099939,tt0261983,tt0083944,tt0313043
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt1000774,tt0090728,tt0159206,tt0087928
nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0120738,tt0277371,tt0377092,tt0821640
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0762107,tt0076299,tt0054535,tt0072308
nm0000329	Jackie Chan	1954	\N	actor,stunts,producer	tt0184894,tt0089374,tt0120812,tt0327437
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,miscellaneous	tt0120791,tt0198021,tt0108149,tt0077631
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0089155,tt0085995,tt0097958,tt0080487
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0988047,tt1540133,tt0375679,tt0790770
nm0000333	Cher	1946	\N	soundtrack,actress,producer	tt0093565,tt0066717,tt1126591,tt0089560
nm0000334	Yun-Fat Chow	1955	\N	actor,writer,soundtrack	tt0097202,tt0473444,tt0190332,tt0104684
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0057115,tt0116213,tt0117218,tt0198781
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0236348,tt0218817,tt0160862,tt0208988
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0078788,tt0068646,tt0071562,tt0099674
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0053925,tt0452608,tt0057569,tt0054033
nm0000340	Cindy Crawford	1966	\N	actress,producer,soundtrack	tt0139057,tt0096613,tt0373759,tt0210977
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0107290,tt0369610,tt0108757,tt0119567
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0119488,tt0343818,tt1655442,tt0120689
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0091064,tt0765443,tt0120907,tt0399146
nm0000344	Denise Crosby	1957	\N	actress,producer	tt0120647,tt0092455,tt0098084,tt0083511
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0113097,tt0101587,tt0122933,tt0098635
nm0000346	Macaulay Culkin	1980	\N	actor,director,producer	tt0104431,tt0099785,tt0110989,tt0102492
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0112715,tt0088930,tt0073629,tt0099810
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0051036,tt0051525,tt0053291,tt0059243
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0435761,tt0096463,tt0098258,tt0120363
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0120586,tt0085995,tt0120434,tt0097958
nm0000351	Donna D'Errico	1968	\N	actress,producer,director	tt0974005,tt3589144,tt4270458,tt7309348
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0119654,tt0093058,tt0109707,tt0369610
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt0145487,tt0091763,tt2278388,tt0266543
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0134119,tt3659388,tt0407887,tt0119217
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt2488496,tt0080684,tt0121766,tt0076759
nm0000356	Sybil Danning	1952	\N	actress,producer,writer	tt0462322,tt0085672,tt0080421,tt0373883
nm0000357	Lolita Davidovich	1961	\N	actress	tt0105217,tt0119432,tt0120684,tt2726560
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0217505,tt0443272,tt0104691,tt0469494
